z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
21.9	369.666	39307	0.00031641	0.00039137	1.17E-122	1.60E-123	0.20233	1.14E-10	0.0070727	3.75E-05	7.344	0.057831	3.77E-05	1.99E-08	0.032095	13.517	0.00043331	0.0022975	660.55	0.33283	0.029609	5.04E-07	0.35042	130.6794872	6.294	4.61E-05	249.59	0.79659	0.0031431	5.2194	6.2845e-321	0.65418	3.54E-10	1.081e-320	0.15042	622.687	450.19
22	369.644	39322	0.00031642	0.00039147	3.25E-123	4.37E-124	0.20234	1.14E-10	0.0068279	3.70E-05	7.3463	0.058105	3.76E-05	2.00E-08	0.031723	13.214	0.00042541	0.0022978	660.64	0.33424	0.029701	4.88E-07	0.3513	130.5576923	6.294	4.61E-05	248.27	0.79653	0.0031469	5.2225	6.2944e-321	0.65465	3.56E-10	1.0845e-320	0.15083	623.285	450.19
22.1	369.611	39337	0.00031643	0.00039157	9.04E-124	1.20E-124	0.20235	1.14E-10	0.0065941	3.66E-05	7.3484	0.058379	3.75E-05	2.01E-08	0.031362	12.919	0.00041767	0.0022981	660.72	0.33563	0.029792	4.73E-07	0.35216	130.4423077	6.294	4.60E-05	246.96	0.79647	0.0031507	5.2256	6.3043e-321	0.65512	3.57E-10	1.0879e-320	0.15123	623.87	450.19
22.2	369.578	39351	0.00031644	0.00039166	2.51E-124	3.28E-125	0.20236	1.14E-10	0.0063706	3.61E-05	7.3506	0.058654	3.75E-05	2.02E-08	0.031011	12.63	0.00041009	0.0022984	660.81	0.33702	0.029882	4.58E-07	0.35302	130.3205128	6.294	4.60E-05	245.66	0.79642	0.0031544	5.2286	6.324e-321	0.65558	3.58E-10	1.0914e-320	0.15163	624.442	450.18
22.3	369.545	39366	0.00031645	0.00039175	6.98E-125	8.99E-126	0.20237	1.14E-10	0.0061569	3.57E-05	7.3527	0.058928	3.74E-05	2.03E-08	0.03067	12.349	0.00040266	0.0022987	660.89	0.33838	0.029972	4.44E-07	0.35386	130.2051282	6.294	4.60E-05	244.39	0.79638	0.0031579	5.2316	6.3389e-321	0.65604	3.59E-10	1.0944e-320	0.15203	625.001	450.18
22.4	369.512	39380	0.00031646	0.00039183	1.94E-125	2.46E-126	0.20238	1.14E-10	0.0059523	3.52E-05	7.3549	0.059203	3.74E-05	2.04E-08	0.030339	12.074	0.00039537	0.002299	660.97	0.33974	0.03006	4.31E-07	0.35469	130.0897436	6.294	4.59E-05	243.13	0.79634	0.0031614	5.2345	6.3537e-321	0.65649	3.60E-10	1.0978e-320	0.15242	625.56	450.18
22.5	369.49	39394	0.00031647	0.00039191	5.39E-126	6.74E-127	0.20239	1.14E-10	0.0057564	3.48E-05	7.357	0.059478	3.73E-05	2.05E-08	0.030019	11.806	0.00038824	0.0022993	661.06	0.34108	0.030148	4.18E-07	0.35551	129.974359	6.294	4.59E-05	241.88	0.7963	0.0031649	5.2374	6.3636e-321	0.65693	3.61E-10	1.1013e-320	0.15281	626.119	450.18
22.6	369.457	39408	0.00031647	0.00039199	1.50E-126	1.85E-127	0.2024	1.14E-10	0.0055687	3.43E-05	7.359	0.059752	3.73E-05	2.06E-08	0.029709	11.544	0.00038125	0.0022996	661.14	0.3424	0.030234	4.06E-07	0.35631	129.8653846	6.294	4.59E-05	240.65	0.79627	0.0031682	5.2402	6.3784e-321	0.65737	3.62E-10	1.1047e-320	0.15319	626.652	450.18
22.7	369.424	39422	0.00031648	0.00039206	4.17E-127	5.06E-128	0.2024	1.14E-10	0.0053887	3.38E-05	7.3611	0.060027	3.72E-05	2.07E-08	0.02941	11.289	0.00037441	0.0022999	661.22	0.34372	0.030319	3.94E-07	0.3571	129.7564103	6.294	4.59E-05	239.44	0.79625	0.0031714	5.2429	6.3932e-321	0.65781	3.63E-10	1.1077e-320	0.15357	627.185	450.18
22.8	369.402	39436	0.00031648	0.00039214	1.16E-127	1.39E-128	0.20241	1.14E-10	0.0052159	3.34E-05	7.3631	0.060302	3.72E-05	2.08E-08	0.029121	11.04	0.00036771	0.0023001	661.29	0.34501	0.030404	3.83E-07	0.35788	129.6410256	6.294	4.58E-05	238.24	0.79624	0.0031745	5.2456	6.3982e-321	0.65824	3.65E-10	1.1112e-320	0.15395	627.705	450.18
22.9	369.369	39449	0.00031649	0.0003922	3.22E-128	3.80E-129	0.20242	1.14E-10	0.00505	3.29E-05	7.3651	0.060577	3.71E-05	2.09E-08	0.028843	10.797	0.00036115	0.0023004	661.37	0.3463	0.030487	3.72E-07	0.35864	129.5384615	6.294	4.58E-05	237.06	0.79623	0.0031776	5.2482	6.408e-321	0.65867	3.66E-10	1.1146e-320	0.15432	628.225	450.18
23	369.347	39463	0.00031649	0.00039227	8.95E-129	1.04E-129	0.20243	1.14E-10	0.0048906	3.25E-05	7.3671	0.060852	3.71E-05	2.10E-08	0.028576	10.56	0.00035472	0.0023007	661.45	0.34757	0.03057	3.61E-07	0.35939	129.4294872	6.294	4.58E-05	235.9	0.79623	0.0031805	5.2507	6.4179e-321	0.65909	3.67E-10	1.1176e-320	0.15469	628.732	450.18
