z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
10.6	375.265	36723	0.00029853	0.00033529	7.92E-60	5.55E-60	0.19548	1.10E-10	10.391	0.00031218	6.6367	0.027276	2.55E-05	8.58E-09	0.06305	174.54	0.003212	0.0022431	644.88	0.13515	0.014711	0.00048089	0.33708	74.30555556	6.2935	4.98E-05	228.3165	0.73405	0.0025155	4.4534	3.8784e-321	0.57381	1.59E-10	5.8349e-321	0.095133	252.421	450.22
10.7	375.199	36752	0.00029891	0.00033627	2.20E-60	1.52E-60	0.19565	1.10E-10	9.6265	0.00029796	6.652	0.027541	2.61E-05	8.68E-09	0.064226	171.06	0.0031651	0.0022438	645.07	0.13678	0.014864	0.00044716	0.33507	74.43376067	6.2936	4.99E-05	226.845	0.73701	0.0025158	4.4629	3.9081e-321	0.57468	1.61E-10	5.8893e-321	0.095591	253.1685	450.22
10.8	375.133	36780	0.00029928	0.00033725	6.12E-61	4.17E-61	0.19582	1.10E-10	8.9144	0.00028453	6.667	0.027807	2.67E-05	8.78E-09	0.065366	167.63	0.0031183	0.0022444	645.25	0.13842	0.015017	0.0004156	0.33309	74.56196583	6.2936	5.00E-05	225.378	0.7399	0.0025164	4.4724	3.9377e-321	0.57554	1.63E-10	5.9436e-321	0.096051	253.916	450.22
10.9	375.067	36809	0.00029966	0.00033821	1.70E-61	1.14E-61	0.19599	1.10E-10	8.2516	0.00027185	6.6817	0.028073	2.72E-05	8.88E-09	0.066469	164.24	0.0030719	0.002245	645.43	0.14007	0.015169	0.00038611	0.33114	74.68660967	6.2936	5.01E-05	223.9245	0.74274	0.0025171	4.4818	3.9624e-321	0.5764	1.65E-10	5.998e-321	0.096513	254.657	450.22
11	375.001	36837	0.00030002	0.00033917	4.73E-62	3.13E-62	0.19615	1.10E-10	7.6351	0.00025988	6.696	0.028338	2.78E-05	8.97E-09	0.067534	160.9	0.0030258	0.0022457	645.62	0.14172	0.015322	0.00035857	0.32923	74.80769233	6.2936	5.01E-05	222.4755	0.74551	0.0025179	4.4912	3.9822e-321	0.57726	1.67E-10	6.0474e-321	0.096977	255.3915	450.22
11.1	374.935	36866	0.00030039	0.00034012	1.31E-62	8.57E-63	0.19631	1.10E-10	7.0621	0.0002486	6.7101	0.028604	2.83E-05	9.07E-09	0.068557	157.6	0.00298	0.0022463	645.8	0.14338	0.015475	0.00033287	0.32735	74.92521367	6.2936	5.02E-05	221.0355	0.74821	0.002519	4.5006	4.0118e-321	0.57812	1.69E-10	6.0968e-321	0.097443	256.126	450.22
11.2	374.869	36894	0.00030074	0.00034107	3.65E-63	2.35E-63	0.19646	1.10E-10	6.5298	0.00023795	6.7239	0.02887	2.89E-05	9.17E-09	0.069539	154.35	0.0029345	0.0022469	645.98	0.14504	0.015628	0.00030891	0.32551	75.03917378	6.2936	5.03E-05	219.6045	0.75085	0.0025202	4.5098	4.0464e-321	0.57898	1.71E-10	6.1412e-321	0.09791	256.854	450.22
11.3	374.803	36922	0.00030109	0.000342	1.02E-63	6.43E-64	0.19661	1.10E-10	6.0358	0.00022792	6.7373	0.029137	2.94E-05	9.27E-09	0.070476	151.15	0.0028894	0.0022476	646.16	0.14671	0.015781	0.00028658	0.32372	75.14957267	6.2936	5.04E-05	218.1825	0.75341	0.0025217	4.5191	4.076e-321	0.57984	1.73E-10	6.1906e-321	0.098379	257.5755	450.22
11.4	374.737	36951	0.00030144	0.00034293	2.82E-64	1.76E-64	0.19676	1.11E-10	5.5775	0.00021847	6.7505	0.029403	2.99E-05	9.36E-09	0.071367	148	0.0028447	0.0022482	646.34	0.14838	0.015934	0.00026578	0.32196	75.25641028	6.2936	5.04E-05	216.765	0.7559	0.0025233	4.5283	4.1057e-321	0.5807	1.75E-10	6.24e-321	0.09885	258.2905	450.22
11.5	374.671	36979	0.00030178	0.00034384	7.85E-65	4.82E-65	0.1969	1.11E-10	5.1526	0.00020956	6.7635	0.029669	3.04E-05	9.46E-09	0.072212	144.9	0.0028003	0.0022488	646.52	0.15006	0.016086	0.00024642	0.32026	75.35968661	6.2936	5.05E-05	215.361	0.75832	0.0025252	4.5375	4.1353e-321	0.58156	1.77E-10	6.2895e-321	0.099323	259.0055	450.22
