skip 																														
 Z (m)	  Az (m2)	 Tz (deg C)	    Cz (mg/m3)	  POCz (mg/m3)	  TPz (mg/m3)	 DOPz (mg/m3)	    Chlaz (mg/m3)	   DOCz (mg/m3)	    TPz_sed (mg/m3)	 Chlaz_sed (mg/m3)	"   Fvol_IM (m3/m3, dry w.)"	 Hice (m)	 Hsnow (m)	 O2z (mg/m3)	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4aqz (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 FeSz (mg/m3)	 CaCO3z (mg/m3)	 CH4gz (mg/m3)	 POPz (mg/m3)
25	1.19E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
25.5	1.11E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
26	1.03E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
26.5	9.59E+05	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
27	8.88E+05	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
27.5	8.20E+05	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
28	7.52E+05	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
28.5	6.91E+05	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
29	6.29E+05	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
29.5	5.77E+05	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
30	5.24E+05	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
30.5	4.82E+05	2.7588	1.0678	403.07	17.884	6.4669	1.0678	7.2907	0	0	0	0	0	12590	17215	5235.5	28.974	3997	4.33E-05	0	1.6205	67.909	7	0.0089496	894.58	146.36	0	468.86	116.37	20.534
31	4.40E+05	2.7588	1.0678	403.07	17.873	6.4669	1.0678	7.2907	0	0	0	0	0	12592	17212	5236.6	28.835	3997	4.15E-05	0	1.5174	67.909	7	0.00838	894.58	146.36	0	468.86	109.12	20.534
31.5	4.04E+05	2.7588	1.0678	403.07	17.893	6.4669	1.0678	7.2906	0	0	0	0	0	12589	17218	5234.6	29.092	3997	4.47E-05	0	1.7072	67.909	7	0.0094283	894.58	146.36	0	468.86	122.47	20.534
32	3.67E+05	2.7588	1.0678	403.07	17.895	6.4669	1.0678	7.2906	0	0	0	0	0	12588	17219	5234.3	29.12	3996.9	4.51E-05	0	1.7279	67.909	7	0.0095426	894.58	146.36	0	468.86	123.92	20.534
32.5	3.33E+05	2.7588	1.0678	403.07	17.921	6.4669	1.0678	7.2906	0	0	0	0	0	12584	17228	5231.7	29.452	3996.9	4.93E-05	0	1.9732	67.909	7	0.010897	894.58	146.36	0	468.86	141.16	20.534
33	2.98E+05	2.7588	1.0678	403.07	17.918	6.4669	1.0678	7.2906	0	0	0	0	0	12585	17227	5231.9	29.423	3996.9	4.89E-05	0	1.9519	67.909	7	0.010779	894.58	146.36	0	468.86	139.66	20.534
33.5	2.67E+05	2.7588	1.0678	403.07	17.943	6.4668	1.0678	7.2906	0	0	0	0	0	12581	17235	5229.3	29.748	3996.8	5.30E-05	0	2.1925	67.909	7	0.012108	894.58	146.36	0	468.86	156.57	20.534
34	2.36E+05	2.7588	1.0678	403.07	17.958	6.4668	1.0678	7.2906	0	0	0	0	0	12578	17240	5227.9	29.933	3996.8	5.54E-05	0	2.3288	67.909	7	0.012861	894.58	146.36	0	468.86	166.16	20.534
34.5	2.07E+05	2.7588	1.0678	403.07	18.005	6.4667	1.0678	7.2905	0	0	0	0	0	12571	17256	5223	30.542	3996.7	6.31E-05	0	2.7793	67.909	7	0.015349	894.58	146.36	0	468.86	197.82	20.534
35	1.77E+05	2.7588	1.0678	403.07	17.997	6.4668	1.0678	7.2905	0	0	0	0	0	12572	17253	5223.8	30.439	3996.7	6.18E-05	0	2.7032	67.909	7	0.014929	894.58	146.36	0	468.86	192.47	20.534
35.5	1.52E+05	2.7588	1.0678	403.07	18.047	6.4667	1.0678	7.2905	0	0	0	0	0	12564	17270	5218.6	31.095	3996.6	7.01E-05	0	3.1877	67.909	7	0.017604	894.58	146.36	0	468.86	226.53	20.534
36	1.27E+05	2.7588	1.0678	403.07	18.049	6.4667	1.0678	7.2905	0	0	0	0	0	12564	17271	5218.4	31.12	3996.6	7.04E-05	0	3.2063	67.909	7	0.017707	894.58	146.36	0	468.86	227.83	20.534
36.5	1.06E+05	2.7588	1.0678	403.07	18.117	6.4666	1.0678	7.2904	0	0	0	0	0	12553	17294	5211.4	32.004	3996.4	8.16E-05	0	3.8597	67.909	7	0.021316	894.58	146.36	0	468.86	273.76	20.534
37	85250	2.7588	1.0678	403.07	18.177	6.4665	1.0678	7.2903	0	0	0	0	0	12543	17314	5205.3	32.773	3996.3	9.13E-05	0	4.4285	67.909	7	0.024457	894.58	146.36	0	468.86	313.74	20.534
37.5	66375	2.7588	1.0678	403.07	18.33	6.4663	1.0678	7.2901	0	0	0	0	0	12519	17365	5189.4	34.759	3995.9	0.00011644	0	5.8966	67.909	7	0.032564	894.58	146.36	0	468.86	416.93	20.534
38	47500	2.7588	1.0678	403.07	18.277	6.4664	1.0678	7.2902	0	0	0	0	0	12527	17348	5194.9	34.074	3996	0.00010777	0	5.3901	67.909	7	0.029767	894.58	146.36	0	468.86	381.33	20.534
38.5	35000	2.7588	1.0678	403.07	18.521	6.4661	1.0678	7.2899	0	0	0	0	0	12488	17430	5169.7	37.245	3995.4	0.00014789	0	7.7336	67.909	7	0.04271	894.58	146.36	0	468.86	546.05	20.534
39	22500	2.7588	1.0678	403.07	18.313	6.4663	1.0678	7.2901	0	0	0	0	0	12521	17360	5191.2	34.545	3995.9	0.00011373	0	5.7378	67.909	7	0.031688	894.58	146.36	0	468.86	405.77	20.534
39.5	16250	2.7588	1.0678	403.07	18.598	6.466	1.0678	7.2898	0	0	0	0	0	12476	17456	5161.7	38.241	3995.2	0.00016049	0	8.4701	67.909	7	0.046777	894.58	146.36	0	468.86	597.82	20.534
40	10000	2.7588	1.0678	403.07	18.951	6.4655	1.0678	7.2893	0	0	0	0	0	12419	17575	5125.2	42.824	3994.3	0.00021849	0	11.858	67.909	7	0.065488	894.58	146.36	0	468.86	835.96	20.534
40.5	5000	2.7588	1.0678	403.07	21.423	6.4622	1.0678	7.2862	0	0	0	0	0	12023	18408	4869.8	74.909	3988.2	0.00062443	0	35.575	67.909	7	0.19646	894.58	146.36	0	468.86	2502.9	20.534
41	0	2.7588	1.0678	403.07	21.423	6.4622	1.0678	7.2862	0	0	0	0	0	12023	18408	4869.8	74.909	3988.2	0.00062443	0	35.575	67.909	7	0.19646	894.58	146.36	0	468.86	2502.9	20.534
