z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
14.6	298.17	9417.8	0.00024707	0.00025949	8.5054e-82	3.128e-82	0.25655	1.4416e-10	314.57	12.759	0.77326	0.032244	8.8308e-09	4.7805e-11	0.0024465	188.96	88.066	0.0011434	328.73	9.8279e-05	0.083572	0.87894	0.31903	111.51	5.8149	1e-05	312.86	0.074598	0.0061525	2.2582	4.8863e-321	0.37495	1.188e-12	7.826e-321	1592	94.301	33.941
14.7	298.25	9417.8	0.00024717	0.00025958	2.3641e-82	8.5693e-83	0.25668	1.4424e-10	310.44	12.758	0.77284	0.032507	9.1356e-09	4.8744e-11	0.0024475	187.41	88.065	0.0011437	328.81	9.941e-05	0.084176	0.87856	0.31895	112.08	5.8149	1e-05	310.94	0.074504	0.0061454	2.2553	4.911e-321	0.37506	1.2082e-12	7.8754e-321	1596.4	94.786	34.149
14.8	298.33	9417.8	0.00024727	0.00025969	6.5711e-83	2.3476e-83	0.25681	1.4431e-10	306.36	12.758	0.77242	0.03277	9.4502e-09	4.9698e-11	0.0024485	185.86	88.064	0.0011439	328.89	0.00010054	0.084779	0.87817	0.31885	112.64	5.8149	1e-05	309.04	0.07441	0.0061383	2.2524	4.9357e-321	0.37517	1.2284e-12	7.9199e-321	1600.6	95.267	34.355
14.9	298.41	9417.8	0.00024737	0.0002598	1.8265e-83	6.4316e-84	0.25694	1.4438e-10	302.34	12.758	0.772	0.033034	9.7747e-09	5.0668e-11	0.0024495	184.33	88.063	0.0011442	328.96	0.00010168	0.08538	0.87779	0.31875	113.2	5.8149	1e-05	307.15	0.074318	0.0061312	2.2496	4.9604e-321	0.37529	1.2488e-12	7.9643e-321	1604.8	95.745	34.561
15	298.49	9417.8	0.00024748	0.00025992	5.0768e-84	1.762e-84	0.25706	1.4445e-10	298.37	12.758	0.77159	0.033297	1.0109e-08	5.1653e-11	0.0024504	182.81	88.063	0.0011445	329.04	0.00010281	0.08598	0.87741	0.31865	113.76	5.8149	1e-05	305.28	0.074226	0.0061243	2.2468	4.9802e-321	0.3754	1.2693e-12	8.0088e-321	1609	96.219	34.766
15.1	298.57	9417.7	0.00024758	0.00026004	1.4111e-84	4.8271e-85	0.25719	1.4452e-10	294.46	12.758	0.77118	0.033561	1.0455e-08	5.2654e-11	0.0024514	181.3	88.062	0.0011447	329.12	0.00010395	0.086577	0.87703	0.31854	114.31	5.8149	1e-05	303.42	0.074136	0.0061174	2.244	5.0049e-321	0.37552	1.2898e-12	8.0533e-321	1613	96.69	34.97
15.2	298.65	9417.7	0.00024768	0.00026017	3.9223e-85	1.3224e-85	0.25731	1.4459e-10	290.59	12.758	0.77077	0.033826	1.0811e-08	5.3671e-11	0.0024523	179.81	88.061	0.001145	329.19	0.00010508	0.087173	0.87665	0.31842	114.86	5.8149	1e-05	301.57	0.074046	0.0061106	2.2412	5.0296e-321	0.37563	1.3105e-12	8.1027e-321	1617.1	97.156	35.174
15.3	298.73	9417.7	0.00024778	0.0002603	1.0902e-85	3.6229e-86	0.25742	1.4466e-10	286.79	12.757	0.77037	0.03409	1.1178e-08	5.4704e-11	0.0024532	178.32	88.061	0.0011453	329.27	0.00010622	0.087767	0.87628	0.3183	115.4	5.8149	1e-05	299.74	0.073958	0.0061039	2.2385	5.0543e-321	0.37575	1.3312e-12	8.1521e-321	1621	97.619	35.376
15.4	298.81	9417.6	0.00024789	0.00026044	3.0303e-86	9.9253e-87	0.25754	1.4472e-10	283.03	12.757	0.76997	0.034355	1.1557e-08	5.5753e-11	0.0024541	176.85	88.06	0.0011455	329.34	0.00010736	0.08836	0.8759	0.31817	115.94	5.8149	1e-05	297.93	0.07387	0.0060973	2.2358	5.079e-321	0.37586	1.352e-12	8.1965e-321	1625	98.079	35.578
15.5	298.89	9417.5	0.00024799	0.00026058	8.4229e-87	2.7191e-87	0.25765	1.4478e-10	279.32	12.757	0.76958	0.034621	1.1947e-08	5.6819e-11	0.002455	175.39	88.059	0.0011458	329.42	0.0001085	0.08895	0.87553	0.31804	116.48	5.8149	1e-05	296.13	0.073783	0.0060907	2.2331	5.1037e-321	0.37598	1.3729e-12	8.241e-321	1628.8	98.535	35.779
