z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
21.4	341.39	10613	0.00030658	0.00036591	8.5147e-120	1.3154e-120	0.28143	1.5815e-10	40.522	18.823	1.6402	0.032809	1.3797e-07	1.8696e-10	0.0032863	61.315	77.14	0.0013661	392.75	0.064036	5.1433	0.097274	0.13597	3.2821e-320	5.815	3.1623e-05	9.9741	0.30008	0.0024857	2.8662	6.2055e-321	1.0079	7.7245e-09	1.0667e-320	253.2	537.81	0.029524
21.5	341.3	10609	0.00030673	0.00036621	2.3667e-120	3.6036e-121	0.28143	1.5815e-10	39.839	18.812	1.6394	0.032974	1.4308e-07	1.9061e-10	0.0032868	60.565	77.133	0.0013663	392.8	0.064362	5.1609	0.097092	0.13612	3.2821e-320	5.815	3.1623e-05	9.8956	0.30009	0.002486	2.8663	6.2203e-321	1.0079	7.7761e-09	1.0697e-320	253.19	539.1	0.029585
21.6	341.21	10606	0.00030687	0.0003665	6.5784e-121	9.8724e-122	0.28142	1.5814e-10	39.169	18.8	1.6386	0.033139	1.483e-07	1.9432e-10	0.0032872	59.828	77.126	0.0013665	392.86	0.064685	5.1783	0.096911	0.13627	3.2821e-320	5.815	3.1623e-05	9.8183	0.3001	0.0024862	2.8663	6.2351e-321	1.0079	7.8272e-09	1.0726e-320	253.18	540.38	0.029646
21.7	341.13	10602	0.00030702	0.00036679	1.8285e-121	2.7046e-122	0.28141	1.5814e-10	38.513	18.789	1.6379	0.033305	1.5361e-07	1.9808e-10	0.0032877	59.102	77.119	0.0013666	392.91	0.065006	5.1956	0.096733	0.13641	3.2821e-320	5.815	3.1623e-05	9.7423	0.30011	0.0024865	2.8664	6.2499e-321	1.0078	7.8779e-09	1.0761e-320	253.17	541.64	0.029706
21.8	341.04	10598	0.00030716	0.00036707	5.0824e-122	7.4096e-123	0.2814	1.5813e-10	37.871	18.778	1.6371	0.03347	1.5902e-07	2.0191e-10	0.0032881	58.387	77.112	0.0013668	392.97	0.065324	5.2127	0.096557	0.13655	3.2821e-320	5.815	3.1623e-05	9.6676	0.30012	0.0024867	2.8665	6.2746e-321	1.0078	7.9282e-09	1.0795e-320	253.16	542.89	0.029765
21.9	340.96	10595	0.0003073	0.00036734	1.4127e-122	2.0299e-123	0.2814	1.5813e-10	37.241	18.767	1.6364	0.033635	1.6451e-07	2.0578e-10	0.0032885	57.685	77.105	0.001367	393.02	0.065639	5.2296	0.096382	0.13669	3.2821e-320	5.815	3.1623e-05	9.5941	0.30013	0.002487	2.8666	6.2895e-321	1.0077	7.978e-09	1.083e-320	253.14	544.12	0.029824
22	340.87	10591	0.00030743	0.00036762	3.9266e-123	5.5611e-124	0.28139	1.5813e-10	36.625	18.756	1.6357	0.033801	1.701e-07	2.0972e-10	0.0032889	56.993	77.098	0.0013672	393.07	0.065951	5.2463	0.09621	0.13683	3.2821e-320	5.815	3.1623e-05	9.5218	0.30013	0.0024872	2.8667	6.3043e-321	1.0077	8.0275e-09	1.0865e-320	253.13	545.34	0.029882
22.1	340.79	10588	0.00030757	0.00036788	1.0914e-123	1.5235e-124	0.28138	1.5812e-10	36.02	18.745	1.635	0.033966	1.7578e-07	2.1371e-10	0.0032893	56.313	77.091	0.0013674	393.12	0.066261	5.2629	0.09604	0.13697	3.2821e-320	5.815	3.1623e-05	9.4508	0.30014	0.0024874	2.8668	6.3142e-321	1.0076	8.0764e-09	1.0899e-320	253.11	546.55	0.029939
22.2	340.71	10584	0.0003077	0.00036815	3.0336e-124	4.1738e-125	0.28137	1.5812e-10	35.429	18.734	1.6343	0.034132	1.8155e-07	2.1775e-10	0.0032897	55.645	77.084	0.0013675	393.17	0.066567	5.2793	0.095872	0.1371	3.2821e-320	5.815	3.1623e-05	9.3809	0.30015	0.0024877	2.8669	6.329e-321	1.0076	8.125e-09	1.0934e-320	253.09	547.74	0.029995
22.3	340.63	10581	0.00030783	0.0003684	8.4321e-125	1.1435e-125	0.28137	1.5811e-10	34.849	18.723	1.6336	0.034297	1.874e-07	2.2186e-10	0.00329	54.987	77.078	0.0013677	393.22	0.066871	5.2956	0.095706	0.13724	3.2821e-320	5.815	3.1623e-05	9.3123	0.30016	0.0024879	2.867	6.3438e-321	1.0075	8.1731e-09	1.0968e-320	253.07	548.91	0.030051
