Oxygen	OMA	OMB	NO3	FeOH3	SO4	NH4	Fe2	FeOOH	H2S	HS	FeS	S0	PO4	S8	FeS2	AlOH3	PO4adsa	PO4adsb	Ca2	Ca3PO4	OMS	OH	CO2	CO3	HCO3	NH3	H	H2CO3
0.063678084	1.94E-07	0.026684223	0.154022982	11.3074817	0.638000002	1.76E-08	7.49E-10	0	2.62E-11	2.51E-11	0	9.63E-11	5.14E-07	1.66E-11	0	2.261537997	3.13E-05	0	0.039999999	1.71E-08	2.63E-12	0.073543414	9.96007507	2.19E-05	0.062386848	7.42E-11	0.135974107	0.016932128
0.064545286	1.49E-07	0.026173885	0.154023412	11.30748144	0.638000002	1.73E-08	7.16E-10	0	2.47E-11	2.36E-11	0	9.92E-11	5.05E-07	1.75E-11	0	2.261537988	3.20E-05	0	0.039999999	1.71E-08	2.66E-12	0.073543414	9.96007507	2.19E-05	0.062386848	7.26E-11	0.135974107	0.016932128
0.065387906	1.15E-07	0.025697011	0.15402383	11.30748105	0.638000002	1.70E-08	6.86E-10	0	2.33E-11	2.23E-11	0	1.02E-10	4.97E-07	1.84E-11	0	2.261537979	3.26E-05	0	0.039999999	1.71E-08	2.70E-12	0.073543414	9.96007507	2.19E-05	0.062386848	7.13E-11	0.135974107	0.016932128
0.066206126	8.80E-08	0.025254594	0.154024237	11.30748051	0.638000002	1.67E-08	6.58E-10	0	2.20E-11	2.11E-11	0	1.05E-10	4.90E-07	1.93E-11	0	2.26153797	3.32E-05	0	0.039999999	1.72E-08	2.74E-12	0.073543414	9.96007507	2.19E-05	0.062386848	7.01E-11	0.135974107	0.016932128
0.06700009	6.74E-08	0.024846191	0.154024633	11.30747981	0.638000002	1.64E-08	6.33E-10	0	2.09E-11	2.00E-11	0	1.08E-10	4.83E-07	2.02E-11	0	2.261537962	3.37E-05	0	0.039999999	1.73E-08	2.77E-12	0.073543414	9.96007507	2.19E-05	0.062386848	6.88E-11	0.135974107	0.016932128
0.067769908	5.14E-08	0.024470278	0.154025018	11.30747895	0.638000002	1.62E-08	6.10E-10	0	1.99E-11	1.90E-11	0	1.11E-10	4.77E-07	2.11E-11	0	2.261537954	3.43E-05	0	0.039999999	1.75E-08	2.80E-12	0.073543413	9.960075071	2.19E-05	0.062386848	6.76E-11	0.135974107	0.016932128
0.068515657	3.91E-08	0.024124556	0.154025391	11.30747794	0.638000002	1.60E-08	5.89E-10	0	1.89E-11	1.81E-11	0	1.13E-10	4.72E-07	2.20E-11	0	2.261537946	3.48E-05	0	0.039999999	1.76E-08	2.84E-12	0.073543413	9.960075071	2.19E-05	0.062386848	6.68E-11	0.135974108	0.016932128
0.069237387	2.96E-08	0.023806233	0.154025753	11.30747679	0.638000002	1.58E-08	5.70E-10	0	1.81E-11	1.73E-11	0	1.16E-10	4.67E-07	2.29E-11	0	2.261537938	3.53E-05	0	0.039999999	1.78E-08	2.87E-12	0.073543413	9.960075071	2.19E-05	0.062386848	6.60E-11	0.135974108	0.016932128
0.069935116	2.23E-08	0.02351225	0.154026103	11.30747552	0.638000002	1.56E-08	5.52E-10	0	1.73E-11	1.65E-11	0	1.19E-10	4.62E-07	2.38E-11	0	2.261537931	3.58E-05	0	0.039999999	1.80E-08	2.91E-12	0.073543413	9.960075071	2.19E-05	0.062386848	6.51E-11	0.135974108	0.016932128
0.070608842	1.67E-08	0.023239469	0.154026442	11.30747417	0.638000002	1.54E-08	5.36E-10	0	1.66E-11	1.59E-11	0	1.21E-10	4.58E-07	2.48E-11	0	2.261537924	3.63E-05	0	0.039999999	1.82E-08	2.94E-12	0.073543413	9.960075071	2.19E-05	0.062386848	6.43E-11	0.135974108	0.016932128
